"file","ids_tags","url_tags","styles_tags","translate_scale_tag"
"Isotopologues_cell-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Tyrosine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Lactic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Glycine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Tyrosine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Histidine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Hexose-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--med_var.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Pyruvic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Tryptophan.svg",TRUE,TRUE,TRUE,TRUE
"abundances--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Lysine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Methionine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--med_var.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Proline-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Lactic_acid.svg",TRUE,TRUE,TRUE,TRUE
"CENTRAL_CARBON_METABOLISM-L-Cycloserine-T2h-Control-T2h--DEG_comparison_2-abundances-cell.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Glycine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Pyruvic_acid.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Phenylalanine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Proline.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Histidine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Serine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Lactic_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Valine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Serine.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Arginine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Glutamine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"AMINOACIDS-L-Cycloserine-T2h-Control-T2h--DEG_comparison_2-abundances-cell.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Proline.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T0--med_var.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Histidine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Arginine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Proline-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Phenylalanine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-Fumaric_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Threonine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Tyrosine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Lysine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Glutamic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Glutamic_acid.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--med_var.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Lactic_acid.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Arginine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Tyrosine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Phenylalanine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Methionine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Ile_Leu.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Aspartic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Serine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Ile_Leu.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Lactic_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_Fumaric_acid-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"legend_isotopologues_stackedbars.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Serine.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Lysine.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-L-Malic_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Asparagine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Lysine.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Histidine.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Valine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Alanine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Glutamine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T2h--cell--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_cell-L-Glutamic_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--med--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-Pyruvic_acid.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--med--label-n_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Histidine.svg",TRUE,TRUE,TRUE,TRUE
"bars_cell_L-Alanine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Pyruvic_acid.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-L-Methionine.svg",TRUE,TRUE,TRUE,TRUE
